artist,artist_uri
YUJU,spotify:artist:7Bu0r4MCDX3sbhcFD5IXyx
Sohyang,spotify:artist:2TCV57G47ttyy1JsVyucXg
SUMIN,spotify:artist:0K4MGKGmjtdIE0W3GkGmyU
Jamie,spotify:artist:2YXlVLKq3X3soXd2aXUtIT
Seori,spotify:artist:2bWTIIQP9zaVc55RaMGu7e
NIve,spotify:artist:1qOPo6b0U3t7BpyO8Ti1MF
Mind Combined,spotify:artist:2gtnYkPVIYBehTHQPJa8QD
WONWOO,spotify:artist:3rHcBT06Vb1XGVUWhDALZt
DPR IAN,spotify:artist:2o8gT0fQmFxGNbowbdgeZe
slchld,spotify:artist:33crDRqANd3NQHJagZkQ7O
Jimmy Brown,spotify:artist:5YPCpDIPOY4WqY9Bqdw4Uc
Raiden,spotify:artist:4YXNoMVTHRt01jYaKXTumJ
BUMKEY,spotify:artist:3vhZuZdMksbnJwoE3AwpXq
Yerin Baek,spotify:artist:6dhfy4ByARPJdPtMyrUYJK
JOE CHO,spotify:artist:7cvx4BWUCi18EeMxvwc9aA
Colde,spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB
GEMINI,spotify:artist:67IWlRdLy3UcfY3q968euj
Moon Sujin,spotify:artist:36MQil20hjOpG5f52NQ4du
Winona Oak,spotify:artist:3XC57xz74X3xUi1hv4mge1
KATIE,spotify:artist:2nDC4PH8XE1gHeeAxVLXRO
Dept,spotify:artist:48JtfAggQQpfUXQNxkGm5U
emoji,spotify:artist:5KnMVZSwuzXebxQHiIEYC8
BANG YE DAM,spotify:artist:1slszTGbkp1uNnI6G5uD0X
GroovyRoom,spotify:artist:29HqjVbJr3vsc2l6BTI4eB
Seo actor,spotify:artist:0Xdas0Cm8xqrnjUKIb6aLF
WONHO,spotify:artist:6pC3vnUgNVITdYMMXefi6D
KWON EUN BI,spotify:artist:0qr7Rhj0yU7BPySYecNUlm
HYO,spotify:artist:3U7bOaJLuFkrmDQ1C1OqKl
BTOB,spotify:artist:2hcsKca6hCfFMwwdbFvenJ
CRAVITY,spotify:artist:6FkhUhUwSPl3mGB6mmE8wn
MIRAE,spotify:artist:3cI5n4TdsnqzKxYPkQLs4b
777 (Triple Seven),spotify:artist:1Y5rgGFlx3ws6zMNoqxa4G
Bz-Boys,spotify:artist:73FA33YtQWdPuswF6u7u4D
BDC,spotify:artist:3FgebbL1Lp8wynkXgtscfd
J.UNA,spotify:artist:7oppHhvVWHX7WeGYjEOL6y
PARK JI HOON,spotify:artist:0tBYMeHDDJCzRuREuCTWi7
GRAY,spotify:artist:3kPEBSt7qgVoRZSbIXMr7W
ONF,spotify:artist:0eEhOgZ2x6kv8kLz77WO7b
Jinyoung,spotify:artist:0cA67OQaC4zDkxvGmWqKu7
KINDA BLUE,spotify:artist:264XvBSD6pFn1eDvWSWMI8
LUNCH,spotify:artist:2UVzzx3MOPYV3l6xW2lzBv
Haeil,spotify:artist:4XniA4dwErLgEX0LmrWEgC
Epik High,spotify:artist:5snNHNlYT2UrtZo5HCJkiw
OVAN,spotify:artist:4FuRHFtCeoYaeeVDKyyvbS
